node_id,x,y,z,module,root_id
431,424986,170450,219180,13,720575940604924606
432,687453,230864,46190,2,720575940604930918
433,626932,177104,143760,14,720575940604934572
434,633084,179884,143760,14,720575940604935340
435,684847,242170,49990,2,720575940604938156
436,651810,218514,49460,2,720575940604938342
437,652960,205760,178200,8,720575940604941234
438,392694,218918,227660,15,720575940604946865
439,465856,219616,222240,23,720575940604955057
440,456468,163943,158813,13,720575940604961126
441,447152,163470,211080,13,720575940604961894
442,621132,160564,174520,14,720575940604962918
443,427488,109696,187600,13,720575940604963686
444,625508,165532,143760,14,720575940604963942
445,592776,196196,75100,19,720575940604967270
446,633404,170780,66800,19,720575940604969161
447,347334,260876,113720,3,720575940604970430
448,567264,159508,172880,8,720575940604971394
449,449067,260325,82173,13,720575940604974978
450,422752,114688,190080,13,720575940604978534
451,351404,264886,121100,21,720575940604982450
452,563613,317143,192400,11,720575940604984678
453,604463,280348,58240,8,720575940604985265
454,449728,110880,186640,13,720575940604985888
455,369718,158320,206760,12,720575940604988518
456,459952,148046,206200,13,720575940604991264
457,410488,218978,182860,3,720575940604994336
458,638336,175680,143760,14,720575940604997152
459,624044,168180,143760,14,720575940604999526
460,666944,315216,100980,2,720575940604999614
461,636100,169208,143760,14,720575940605000550
462,463192,95596,126220,4,720575940605003622
463,705196,269105,66050,2,720575940605007136
464,572326,106945,117730,4,720575940605007206
465,716842,193512,112160,8,720575940605007276
466,375236,202180,139280,12,720575940605010464
467,688832,144096,73320,8,720575940605013420
468,691220,297088,65970,2,720575940605019057
469,556828,128448,149347,20,720575940605020448
470,362096,179344,151220,29,720575940605023008
471,725408,134848,123320,8,720575940605024684
472,699392,139776,173680,8,720575940605027529
473,463892,253216,95360,12,720575940605028017
474,645100,279190,173000,8,720575940605029036
475,636888,175080,143760,14,720575940605029250
476,623194,195120,151800,38,720575940605030316
477,657535,178139,87573,8,720575940605031084
478,688640,183808,188760,15,720575940605032550
479,667316,126144,157000,8,720575940605033504
480,634660,176264,143760,14,720575940605036418
481,666119,145867,112770,8,720575940605037996
482,697138,182998,125800,8,720575940605039788
483,727776,138208,123240,8,720575940605040300
484,352928,132576,123040,12,720575940605041324
485,703307,159549,105413,4,720575940605043121
486,457568,115924,179740,13,720575940605060798
487,456304,121170,143280,3,720575940605064126
488,554106,281150,183780,27,720575940605068390
489,597071,142547,160420,8,720575940605068576
490,462640,131766,131960,20,720575940605073342
491,623072,222482,86568,31,720575940605074278
492,727616,142336,128240,8,720575940605074353
493,611614,281240,63820,14,720575940605078560
494,366263,210491,104920,3,720575940605080422
495,717346,162548,121920,8,720575940605080608
496,635292,157152,167700,14,720575940605083838
497,707728,187384,152520,11,720575940605093310
498,532555,340739,206200,21,720575940605095346
499,593396,96240,135320,10,720575940605098626
500,372195,151487,120387,3,720575940605100320
501,439586,269136,70960,13,720575940605101758
502,375880,285524,124660,3,720575940605102526
503,435060,238407,50490,13,720575940605102694
504,423200,130068,165980,6,720575940605104049
505,642370,127304,78800,8,720575940605105696
506,660141,131140,143453,8,720575940605106976
507,612757,249013,185547,11,720575940605107121
508,552318,157814,24220,14,720575940605113376
509,464066,285396,74800,3,720575940605114754
510,373792,278720,150120,3,720575940605115337
511,525728,351136,206760,1,720575940605118054
512,370684,245696,112460,3,720575940605118142
513,611020,192180,60960,6,720575940605124482
514,389930,132602,120700,3,720575940605125152
515,570878,128102,158240,19,720575940605135038
516,346352,259610,119480,3,720575940605137538
517,527082,117248,66680,4,720575940605154080
518,675266,285214,86840,2,720575940605154336
519,551032,283961,54373,27,720575940605156384
520,703936,155392,90520,27,720575940605158065
521,628748,167792,143760,14,720575940605167025
522,621088,178324,143760,14,720575940605171121
523,429856,333504,133200,1,720575940605177534
524,628800,172568,143760,14,720575940605180337
525,416576,104160,188480,13,720575940605180849
526,638920,175452,143760,14,720575940605184102
527,570668,364376,99800,11,720575940605187970
528,609472,262560,207800,18,720575940605188226
529,587122,338322,134020,11,720575940605188542
530,677562,249661,93980,21,720575940605190078
531,635536,178964,143760,14,720575940605196465
532,431129,146769,182773,15,720575940605197158
533,625228,179360,143760,14,720575940605197745
534,456672,114688,173680,13,720575940605199305
535,530092,354884,199960,21,720575940605214636
536,608738,333082,129276,9,720575940605218220
537,610080,174208,22720,14,720575940605221065
538,623968,113874,148840,8,720575940605226673
539,470784,120416,183960,13,720575940605236866
540,451650,234542,213400,1,720575940605238914
541,479904,100864,167760,13,720575940605246850
542,654384,206112,178240,2,720575940605248130
543,654044,206288,178240,2,720575940605248898
544,654572,205096,178240,2,720575940605249154
545,627398,163548,176100,14,720575940605252041
546,509512,175224,136580,4,720575940605252798
547,380316,173984,108240,24,720575940605255042
548,443072,233120,227040,1,720575940605256649
549,590752,217248,210680,26,720575940605262722
550,538094,187680,192200,3,720575940605269378
551,611488,258592,210360,11,720575940605274825
552,524405,352554,209216,2,720575940605277798
553,587424,192384,13600,14,720575940605280201
554,398528,242336,68440,11,720575940605287881
555,624580,166724,143760,14,720575940605290441
556,653724,137504,144120,8,720575940605295281
557,430355,326480,82952,21,720575940605298121
558,677863,272191,75400,2,720575940605298353
559,507429,180304,180387,3,720575940605299889
560,635042,155878,52470,31,720575940605302974
561,634336,233696,15920,14,720575940605305777
562,484072,159828,182387,10,720575940605307936
563,644090,323270,109480,21,720575940605308082
564,568906,242762,30680,14,720575940605309361
565,437704,150500,221520,13,720575940605312945
566,483044,91832,137400,12,720575940605322370
567,491888,186644,171600,5,720575940605322674
568,632088,181900,143760,14,720575940605338290
569,610496,99968,159440,8,720575940605341216
570,488122,285360,211880,22,720575940605344434
571,434816,303616,210160,1,720575940605344945
572,358641,190840,179533,3,720575940605345568
573,622036,177172,143760,14,720575940605350066
574,454236,230848,203160,11,720575940605353649
575,547872,142048,157240,11,720575940605355721
576,402408,161787,210013,10,720575940605355966
577,454584,171973,193973,24,720575940605360817
578,534267,152941,125173,6,720575940605361841
579,606734,146368,157340,14,720575940605362610
580,348640,178880,174120,44,720575940605364681
581,359172,263966,133900,3,720575940605367473
582,651632,185310,182480,2,720575940605368497
583,705286,139362,105400,20,720575940605370033
584,689284,186300,95520,8,720575940605370802
585,712376,189452,112160,8,720575940605376800
586,580990,181316,189400,6,720575940605379506
587,580500,189260,173560,17,720575940605380274
588,320320,202240,144760,10,720575940605381065
589,358848,159424,212280,12,720575940605383526
590,580564,195498,188880,25,720575940605384882
591,340506,168234,113360,12,720575940605391136
592,598847,278575,54880,8,720575940605391794
593,657819,154161,177173,10,720575940605395558
594,669136,145820,171400,8,720575940605396926
595,610047,277082,37947,11,720575940605400096
596,355872,272800,116640,3,720575940605404546
597,641828,174212,143760,14,720575940605407846
598,676784,172072,118400,8,720575940605410592
599,368496,168614,195420,11,720575940605411104
600,353894,168209,182630,1,720575940605411808
601,425196,171944,174800,13,720575940605412738
602,370560,105664,181360,12,720575940605413577
603,714020,186524,110680,8,720575940605420674
604,450569,266258,89857,10,720575940605420902
605,466296,208740,54707,13,720575940605421442
606,431712,115936,201920,13,720575940605421670
607,658073,211983,119296,4,720575940605421745
