node_id,module,x,y,z,out_degree,pagerank,hodge,pca1,pca2,cluster
229,20,575104,107584,144440,1,0.0006679550690645,-1.5749058274512384,1.8805098318363151,2.097149086043152,5
230,8,561952,139424,172880,22,0.0013367376994243,-0.6516863053610282,1.1975458353679949,0.7111644956147781,5
231,7,611296,326752,51920,9,0.000405057500185,0.0176414581452933,-2.130900946089706,0.9635889181119294,3
232,13,420120,164316,174800,4,8.254884421566405e-05,-0.0740205270617403,1.2312074188700983,-0.5595991801753227,4
233,1,438848,321632,195560,40,0.0003576463383288,0.6450488322262473,-0.6810922695737192,-1.8215760151930016,1
234,23,684672,192000,62880,13,0.00182496077047,-0.2443349415010405,-0.9792448788699754,1.7265438625085383,9
235,3,721504,216000,69040,24,0.0002650611770021,-0.1498199324677132,-1.3832859733323897,1.682416305208302,3
236,3,350592,276640,114680,8,0.0001376684090398,-0.3348846850753375,-0.0272325201777723,-0.5215213994239076,8
237,8,708780,173288,130080,18,0.0001385090897108,0.8302714602727059,-0.8816661976194388,0.3809002585657988,9
238,19,666759,183545,52747,3,0.0002847066730033,0.504694327233308,-1.3488510099238764,1.0613137722111088,9
239,5,662752,305952,69400,17,0.0002087940695178,1.0584782267611474,-2.6450325343090886,0.0975872755679417,3
240,1,537248,106112,45320,11,0.0002876305803092,0.3401782063285339,-0.3758921551051217,0.5577017317064402,8
